peak_chr,peak_start,peak_end,peak_width,peak_strand,peak_id,peak_annotation,gene_chr,gene_start,gene_end,gene_length,gene_strand,ncbi_id,transcript_id,dist_to_tss,gene_id,gene_symbol,peak_annotation_general,gene_type,logFC,FDR
chr1,12643001,12647500,4500,*,chr1_12643001_12647500,Promoter (<=1kb),1,12644085,12667076,22992,1,343066,ENST00000376221,0,ENSG00000204518,AADACL4,Promoter (<=1kb),protein_coding,-0.242061125199496,0.733331261509944
chr1,12733501,12780500,47000,*,chr1_12733501_12780500,Promoter (<=1kb),1,12773738,12777906,4169,1,390999,ENST00000357726,0,ENSG00000116726,PRAMEF12,Promoter (<=1kb),protein_coding,1.39322022817694,4.65049483770639e-6
chr1,13574001,13584500,10500,*,chr1_13574001_13584500,Promoter (<=1kb),1,13583465,13617957,34493,1,10630,ENST00000294489,0,ENSG00000162493,PDPN,Promoter (<=1kb),protein_coding,-0.267390858600335,0.68964446903657906
chr1,13882001,13908000,26000,*,chr1_13882001_13908000,Promoter (<=1kb),1,13892792,14304663,411872,1,23254,ENST00000636564,0,ENSG00000189337,KAZN,Promoter (<=1kb),protein_coding,0.267940929457024,0.926569838850715
chr1,15586501,15589000,2500,*,chr1_15586501_15589000,Promoter (1-2kb),1,15571699,15585051,13353,2,79814,ENST00000375826,-1450,ENSG00000116771,AGMAT,Promoter (1-2kb),protein_coding,-0.684408014610845,0.0155490126279949
chr1,16614001,16616000,2000,*,chr1_16614001_16616000,Promoter (<=1kb),1,16599589,16613562,13974,2,55672,ENST00000599069,-439,ENSG00000219481,NBPF1,Promoter (<=1kb),protein_coding,-0.303069618332779,0.335538786659658
chr1,17056501,17058500,2000,*,chr1_17056501_17058500,Promoter (2-3kb),1,17018722,17054151,35430,2,6390,ENST00000714034,-2350,ENSG00000117118,SDHB,Promoter (2-3kb),protein_coding,-0.44739530686498,0.136242556967051
chr1,17294001,17309000,15000,*,chr1_17294001_17309000,Promoter (<=1kb),1,17308195,17334796,26602,1,23569,ENST00000375453,0,ENSG00000159339,PADI4,Promoter (<=1kb),protein_coding,-0.608398146809221,0.385597127069476
chr1,18621001,18660500,39500,*,chr1_18621001_18660500,Promoter (<=1kb),1,18630846,18748866,118021,1,5081,ENST00000420770,0,ENSG00000009709,PAX7,Promoter (<=1kb),protein_coding,-0.677903161440307,0.165547142294342
chr1,18825501,18860500,35000,*,chr1_18825501_18860500,Promoter (<=1kb),1,18839599,18859660,20062,2,80834,ENST00000375371,0,ENSG00000179002,TAS1R2,Promoter (<=1kb),protein_coding,0.912122294814971,0.00300344782140621
chr1,18958501,18968000,9500,*,chr1_18958501_18968000,Promoter (1-2kb),1,18904280,18956676,52397,2,126917,ENST00000455833,-1825,ENSG00000169991,IFFO2,Promoter (1-2kb),protein_coding,-0.285540091997325,0.462845291620885
chr1,19979001,19983000,4000,*,chr1_19979001_19983000,Promoter (<=1kb),1,19975431,19979607,4177,2,5320,ENST00000400520,0,ENSG00000188257,PLA2G2A,Promoter (<=1kb),protein_coding,-0.418457355730594,0.163957630870409
chr1,20117501,20123500,6000,*,chr1_20117501_20123500,Promoter (<=1kb),1,20111939,20119536,7598,2,26279,ENST00000375105,0,ENSG00000117215,PLA2G2D,Promoter (<=1kb),protein_coding,-0.89530066095508,0.00282765810144689
chr1,20312001,20332500,20500,*,chr1_20312001_20332500,Promoter (<=1kb),1,20332915,20354251,21337,1,127731,ENST00000467486,-415,ENSG00000158816,VWA5B1,Promoter (<=1kb),protein_coding,-0.63392684281979,0.609505041221854
chr1,21547501,21552500,5000,*,chr1_21547501_21552500,Promoter (<=1kb),1,21551279,21578012,26734,1,249,ENST00000374832,0,ENSG00000162551,ALPL,Promoter (<=1kb),protein_coding,-0.581884284398886,0.0768859010597965
chr1,22552501,22577500,25000,*,chr1_22552501_22577500,Promoter (<=1kb),1,22563489,22603595,40107,1,2046,ENST00000166244,0,ENSG00000070886,EPHA8,Promoter (<=1kb),protein_coding,-0.753519849022756,0.281861733841246
chr1,22652501,22674500,22000,*,chr1_22652501_22674500,Promoter (<=1kb),1,22652762,22661090,8329,1,713,ENST00000510260,0,ENSG00000173369,C1QB,Promoter (<=1kb),protein_coding,0.784007179610884,0.0311642540691687
chr1,22711001,22713500,2500,*,chr1_22711001_22713500,Promoter (<=1kb),1,22710970,22914270,203301,1,2048,ENST00000374632,31,ENSG00000133216,EPHB2,Promoter (<=1kb),protein_coding,0.393649787344298,0.353040248842956
chr1,23220001,23222500,2500,*,chr1_23220001_23222500,Promoter (2-3kb),1,23191895,23217502,25608,2,3352,ENST00000374619,-2499,ENSG00000179546,HTR1D,Promoter (2-3kb),protein_coding,-0.886616617686531,0.00445815497217559
chr1,23836001,23840000,4000,*,chr1_23836001_23840000,Promoter (<=1kb),1,23801887,23838620,36734,2,3155,ENST00000374487,0,ENSG00000117305,HMGCL,Promoter (<=1kb),protein_coding,0.301058854611347,0.442657327047723
chr1,24357001,24385000,28000,*,chr1_24357001_24385000,Promoter (<=1kb),1,24369043,24379823,10781,2,90529,ENST00000438866,0,ENSG00000001460,STPG1,Promoter (<=1kb),protein_coding,-0.759318824977422,0.0325812419885559
chr1,24582001,24587500,5500,*,chr1_24582001_24587500,Promoter (1-2kb),1,24589464,24609328,19865,1,400746,ENST00000486262,-1964,ENSG00000184454,NCMAP,Promoter (1-2kb),protein_coding,-0.553602742746955,0.118336923816781
chr1,26068001,26074500,6500,*,chr1_26068001_26074500,Promoter (<=1kb),1,26061244,26068436,7193,2,84676,ENST00000483052,0,ENSG00000158022,TRIM63,Promoter (<=1kb),protein_coding,-0.522896654594789,0.534821580794492
chr1,26370001,26375000,5000,*,chr1_26370001_26375000,Promoter (<=1kb),1,26361634,26372735,11102,2,257101,ENST00000403843,0,ENSG00000176083,ZNF683,Promoter (<=1kb),protein_coding,-0.20676876100222,0.671762750126351
chr1,26402001,26422500,20500,*,chr1_26402001_26422500,Promoter (<=1kb),1,26410817,26429719,18903,1,79727,ENST00000254231,0,ENSG00000131914,LIN28A,Promoter (<=1kb),protein_coding,-1.32999185036924,6.9739028250693e-5
chr1,27627501,27631500,4000,*,chr1_27627501_27631500,Promoter (<=1kb),1,27612669,27626569,13901,2,2268,ENST00000374003,-932,ENSG00000000938,FGR,Promoter (<=1kb),protein_coding,-0.121749635701222,0.848347961503793
chr1,27916501,27920000,3500,*,chr1_27916501_27920000,Promoter (1-2kb),1,27891924,27914746,22823,2,6118,ENST00000373909,-1755,ENSG00000117748,RPA2,Promoter (1-2kb),protein_coding,-0.028781345687578,0.959831909863682
chr1,28808501,28819000,10500,*,chr1_28808501_28819000,Promoter (<=1kb),1,28812170,28871267,59098,1,4985,ENST00000234961,0,ENSG00000116329,OPRD1,Promoter (<=1kb),protein_coding,-0.651436527493761,0.062146866210962
chr1,31408001,31411500,3500,*,chr1_31408001_31411500,Promoter (<=1kb),1,31409565,31434677,25113,1,347735,ENST00000373710,0,ENSG00000168528,SERINC2,Promoter (<=1kb),protein_coding,-0.701693141318873,0.0460161263330438
chr1,32883501,32892500,9000,*,chr1_32883501_32892500,Promoter (<=1kb),1,32885994,32894063,8070,1,3208,ENST00000470166,0,ENSG00000121905,HPCA,Promoter (<=1kb),protein_coding,-0.560255766886471,0.124870515941347
chr1,33183001,33194500,11500,*,chr1_33183001_33194500,Promoter (<=1kb),1,33159692,33182053,22362,2,55223,ENST00000485148,-948,ENSG00000116525,TRIM62,Promoter (<=1kb),protein_coding,-0.877004704127659,0.0129765770959459
chr1,33836001,33890000,54000,*,chr1_33836001_33890000,Promoter (<=1kb),1,33860475,33864791,4317,1,127540,ENST00000519684,0,ENSG00000176256,HMGB4,Promoter (<=1kb),protein_coding,-0.365886376721044,0.509552021752601
chr1,36477501,36486000,8500,*,chr1_36477501_36486000,Promoter (<=1kb),1,36466043,36482913,16871,2,1441,ENST00000373106,0,ENSG00000119535,CSF3R,Promoter (<=1kb),protein_coding,0.01706767617302,0.978978070397416
chr1,37596501,37647500,51000,*,chr1_37596501_37647500,Promoter (<=1kb),1,37611350,37634665,23316,2,284654,ENST00000612451,0,ENSG00000169218,RSPO1,Promoter (<=1kb),protein_coding,1.14883901690991,1.6919340246034e-4
chr1,39079501,39086000,6500,*,chr1_39079501_39086000,Promoter (<=1kb),1,39081316,39102981,21666,1,23499,ENST00000484793,0,ENSG00000127603,MACF1,Promoter (<=1kb),protein_coding,-0.356538091835796,0.401479396138911
chr1,39686501,39691000,4500,*,chr1_39686501_39691000,Promoter (<=1kb),1,39678648,39691433,12786,2,51440,ENST00000372844,433,ENSG00000116983,HPCAL4,Promoter (<=1kb),protein_coding,-0.318651357705938,0.490717387409394
chr1,40154501,40159000,4500,*,chr1_40154501_40159000,Promoter (2-3kb),1,40161387,40240921,79535,1,6018,ENST00000372771,-2387,ENSG00000117000,RLF,Promoter (2-3kb),protein_coding,-0.123013221636291,0.813641963158997
chr1,41485001,41490500,5500,*,chr1_41485001_41490500,Promoter (<=1kb),1,41478775,41484683,5909,2,1907,ENST00000372587,-318,ENSG00000127129,EDN2,Promoter (<=1kb),protein_coding,-0.0229108375675406,0.970848345613516
chr1,42149501,42153000,3500,*,chr1_42149501_42153000,Promoter (<=1kb),1,42153410,42155820,2411,1,2981,ENST00000372581,-410,ENSG00000044012,GUCA2B,Promoter (<=1kb),protein_coding,-0.70749398055149,0.0274328753282828
chr1,43175501,43178500,3000,*,chr1_43175501_43178500,Promoter (2-3kb),1,43164175,43172570,8396,2,10969,ENST00000431635,-2931,ENSG00000117395,EBNA1BP2,Promoter (2-3kb),protein_coding,-0.539241618603098,0.0688111764637957
chr1,43302001,43304500,2500,*,chr1_43302001_43304500,Promoter (<=1kb),1,43302450,43305343,2894,1,7075,ENST00000485125,0,ENSG00000066056,TIE1,Promoter (<=1kb),protein_coding,-0.172683817892249,0.623216367821687
chr1,44610001,44613500,3500,*,chr1_44610001_44613500,Promoter (<=1kb),1,44614265,44627057,12793,1,55182,ENST00000496262,-765,ENSG00000187147,RNF220,Promoter (<=1kb),protein_coding,0.0989613307409452,0.955592999965016
chr1,44695501,44699000,3500,*,chr1_44695501_44699000,Promoter (1-2kb),1,44700973,44724379,23407,1,339541,ENST00000434520,-1973,ENSG00000198520,ARMH1,Promoter (1-2kb),protein_coding,-0.719780544007852,0.0165243770243252
chr1,45203001,45210000,7000,*,chr1_45203001_45210000,Promoter (<=1kb),1,45016399,45206605,190207,2,57643,ENST00000359600,0,ENSG00000162415,ZSWIM5,Promoter (<=1kb),protein_coding,1.0114062731323,2.9229999670197e-4
chr1,47058001,47065500,7500,*,chr1_47058001_47065500,Promoter (1-2kb),1,47067231,47118318,51088,1,199974,ENST00000334194,-1731,ENSG00000186160,CYP4Z1,Promoter (1-2kb),protein_coding,-0.836641800282352,0.00413352503057501
chr1,47768501,47779000,10500,*,chr1_47768501_47779000,Promoter (2-3kb),1,47761132,47765547,4416,2,388630,ENST00000438589,-2954,ENSG00000269113,TRABD2B,Promoter (2-3kb),protein_coding,0.564885360219103,0.229394633582714
chr1,48519501,48796000,276500,*,chr1_48519501_48796000,Promoter (<=1kb),1,48727519,48776891,49373,2,79656,ENST00000371833,0,ENSG00000162373,BEND5,Promoter (<=1kb),protein_coding,-1.49172969693214,4.90250748189161e-7
chr1,51990501,52000000,9500,*,chr1_51990501_52000000,Promoter (<=1kb),1,51907956,51990700,82745,2,5865,ENST00000371655,0,ENSG00000169213,RAB3B,Promoter (<=1kb),protein_coding,0.452360852716392,0.386231289833797
chr1,53058501,53061500,3000,*,chr1_53058501_53061500,Promoter (<=1kb),1,53062052,53085501,23450,1,127435,ENST00000395871,-552,ENSG00000174348,PODN,Promoter (<=1kb),protein_coding,-0.28629434979314,0.342297296182045
chr1,54412501,54418500,6000,*,chr1_54412501_54418500,Promoter (<=1kb),1,54243237,54413479,170243,2,23648,ENST00000525990,0,ENSG00000157216,SSBP3,Promoter (<=1kb),protein_coding,-0.430088257649644,0.659763552896634
chr1,54648001,54653500,5500,*,chr1_54648001_54653500,Promoter (<=1kb),1,54651237,54710266,59030,1,374977,ENST00000413188,0,ENSG00000184313,MROH7,Promoter (<=1kb),protein_coding,-0.219892035593155,0.503047931190277
chr1,56738001,56741500,3500,*,chr1_56738001_56741500,Promoter (<=1kb),1,56726548,56737647,11100,2,199920,ENST00000371240,-354,ENSG00000187889,FYB2,Promoter (<=1kb),protein_coding,-0.322014795909116,0.385074192296107
chr1,59548001,59557000,9000,*,chr1_59548001_59557000,Promoter (<=1kb),1,59553918,59762728,208811,1,55277,ENST00000371210,0,ENSG00000172456,FGGY,Promoter (<=1kb),protein_coding,-4.75037218306314e-5,0.999950569521434
chr1,60073001,60077500,4500,*,chr1_60073001_60077500,Promoter (<=1kb),1,59990394,60073736,83343,2,127795,ENST00000450089,0,ENSG00000162598,C1orf87,Promoter (<=1kb),protein_coding,-0.852993556722852,0.0139774946130491
chr1,62257001,62264000,7000,*,chr1_62257001_62264000,Promoter (<=1kb),1,62236979,62263424,26446,2,163782,ENST00000317477,0,ENSG00000132854,KANK4,Promoter (<=1kb),protein_coding,-0.800818264607164,0.0300040552611155
chr1,62776501,62781500,5000,*,chr1_62776501_62781500,Promoter (2-3kb),1,62784132,62865516,81385,1,84938,ENST00000317868,-2632,ENSG00000125703,ATG4C,Promoter (2-3kb),protein_coding,0.135324876573813,0.780612496570286
chr1,64506001,64509000,3000,*,chr1_64506001_64509000,Promoter (<=1kb),1,64505915,64693053,187139,1,57685,ENST00000495994,86,ENSG00000158966,CACHD1,Promoter (<=1kb),protein_coding,-0.0451038103909942,0.926581515147103
chr1,67316001,67318500,2500,*,chr1_67316001_67318500,Promoter (1-2kb),1,67320343,67380262,59920,1,3595,ENST00000696762,-1843,ENSG00000081985,IL12RB2,Promoter (1-2kb),protein_coding,0.0468536812207288,0.925087756920854
chr1,67833501,67837500,4000,*,chr1_67833501_67837500,Promoter (<=1kb),1,67701475,67833467,131993,2,55970,ENST00000370982,-34,ENSG00000172380,GNG12,Promoter (<=1kb),protein_coding,0.456475442243934,0.227552463506786
chr1,74437001,74440500,3500,*,chr1_74437001_74440500,Promoter (<=1kb),1,74439065,74463549,24485,1,100526835,ENST00000370889,0,ENSG00000259030,FPGT-TNNI3K,Promoter (<=1kb),protein_coding,-1.51606988628814,3.63263895559999e-7
chr1,74503501,74518500,15000,*,chr1_74503501_74518500,Promoter (<=1kb),1,74469376,74512611,43236,2,105378803,ENST00000294635,0,ENSG00000162621,LRRC53,Promoter (<=1kb),protein_coding,-1.26004680179242,2.93183800624748e-5
chr1,74673001,74689500,16500,*,chr1_74673001_74689500,Promoter (<=1kb),1,74568123,74673792,105670,2,127254,ENST00000326665,0,ENSG00000178965,ERICH3,Promoter (<=1kb),protein_coding,-1.92312423881922,1.9039662325802803e-9
chr1,84295501,84306500,11000,*,chr1_84295501_84306500,Promoter (<=1kb),1,84298366,84350798,52433,1,148418,ENST00000370673,0,ENSG00000203943,SAMD13,Promoter (<=1kb),protein_coding,4.628797309304,2.79406577912318e-27
chr1,84692501,84695500,3000,*,chr1_84692501_84695500,Promoter (1-2kb),1,84666119,84690803,24685,2,117178,ENST00000422026,-1698,ENSG00000117155,SSX2IP,Promoter (1-2kb),protein_coding,-0.0224242154680489,0.973420108355123
chr1,85198001,85201500,3500,*,chr1_85198001_85201500,Promoter (<=1kb),1,85156889,85201016,44128,2,84144,ENST00000341460,0,ENSG00000097096,SYDE2,Promoter (<=1kb),protein_coding,0.145366131694508,0.821965887520121
chr1,86438001,86440000,2000,*,chr1_86438001_86440000,Promoter (<=1kb),1,86440280,86445519,5240,1,9635,ENST00000490884,-280,ENSG00000137975,CLCA2,Promoter (<=1kb),protein_coding,-0.154836213202464,0.676441922414105
chr1,86468001,86472500,4500,*,chr1_86468001_86472500,Promoter (<=1kb),1,86468368,86500259,31892,1,1179,ENST00000234701,0,ENSG00000016490,CLCA1,Promoter (<=1kb),protein_coding,-0.142516096064931,0.760369349776015
chr1,89833501,89837000,3500,*,chr1_89833501_89837000,Promoter (<=1kb),1,89833693,89933433,99741,1,55144,ENST00000532201,0,ENSG00000171492,LRRC8D,Promoter (<=1kb),protein_coding,0.275232477429756,0.668550092299453
chr1,90713001,90717000,4000,*,chr1_90713001_90717000,Promoter (<=1kb),1,90711539,90717302,5764,2,343472,ENST00000370445,302,ENSG00000143032,BARHL2,Promoter (<=1kb),protein_coding,-1.2532936349581,8.00178960112342e-5
chr1,92963001,92967000,4000,*,chr1_92963001_92967000,Promoter (1-2kb),1,92842160,92961522,119363,2,388650,ENST00000616709,-1479,ENSG00000154511,DIPK1A,Promoter (1-2kb),protein_coding,0.307886123976281,0.613054608226372
chr1,94012001,94016000,4000,*,chr1_94012001_94016000,Promoter (1-2kb),1,94001508,94010929,9422,2,24,ENST00000465352,-1072,ENSG00000198691,ABCA4,Promoter (1-2kb),protein_coding,-0.353558873973608,0.427365702965051
chr1,94274501,94276500,2000,*,chr1_94274501_94276500,Promoter (<=1kb),1,94149847,94275068,125222,2,9411,ENST00000552844,0,ENSG00000137962,ARHGAP29,Promoter (<=1kb),protein_coding,0.409615491392496,0.18316915187571
chr1,94413001,94415500,2500,*,chr1_94413001_94415500,Promoter (2-3kb),1,94418389,94518663,100275,1,5825,ENST00000370214,-2889,ENSG00000117528,ABCD3,Promoter (2-3kb),protein_coding,-0.0206971520087615,0.974867221826914
chr1,97918001,97920500,2500,*,chr1_97918001_97920500,Promoter (<=1kb),1,97855030,97920997,65968,2,1806,ENST00000460019,497,ENSG00000188641,DPYD,Promoter (<=1kb),protein_coding,0.130704166875503,0.730792920106406
chr1,99226001,99228000,2000,*,chr1_99226001_99228000,Promoter (<=1kb),1,98890245,99227929,337685,2,163404,ENST00000696571,0,ENSG00000117598,PLPPR5,Promoter (<=1kb),protein_coding,-0.868365093538359,0.00223900763012446
chr1,99262501,99265000,2500,*,chr1_99262501_99265000,Promoter (<=1kb),1,99264292,99309580,45289,1,9890,ENST00000457765,0,ENSG00000117600,PLPPR4,Promoter (<=1kb),protein_coding,0.0513063380319991,0.916829422844467
chr1,100534001,100539500,5500,*,chr1_100534001_100539500,Promoter (<=1kb),1,100538139,100542021,3883,1,54112,ENST00000315033,0,ENSG00000181656,GPR88,Promoter (<=1kb),protein_coding,-0.770552161735485,0.0184435140968861
chr1,108856001,108859000,3000,*,chr1_108856001_108859000,Promoter (<=1kb),1,108815901,108857094,41194,2,254268,ENST00000370001,0,ENSG00000162641,AKNAD1,Promoter (<=1kb),protein_coding,-0.503058738313806,0.115816224884531
chr1,109105501,109113000,7500,*,chr1_109105501_109113000,Promoter (<=1kb),1,109105951,109112747,6797,2,127003,ENST00000369948,0,ENSG00000179902,CFAP276,Promoter (<=1kb),protein_coding,-0.785174585087592,0.0391097941117594
chr1,109114501,109116500,2000,*,chr1_109114501_109116500,Promoter (<=1kb),1,109114173,109191605,77433,1,57535,ENST00000490758,328,ENSG00000116299,ELAPOR1,Promoter (<=1kb),protein_coding,-0.104232297083664,0.795786291487501
chr1,109395001,109398500,3500,*,chr1_109395001_109398500,Promoter (<=1kb),1,109309575,109397918,88344,2,6272,ENST00000256637,0,ENSG00000134243,SORT1,Promoter (<=1kb),protein_coding,0.460949792099586,0.112446474516024
chr1,109461501,109483500,22000,*,chr1_109461501_109483500,Promoter (<=1kb),1,109483479,109492704,9226,1,127002,ENST00000463678,0,ENSG00000162650,ATXN7L2,Promoter (<=1kb),protein_coding,-0.58791545278058,0.513797201784325
chr1,109505001,109513500,8500,*,chr1_109505001_109513500,Promoter (<=1kb),1,109504178,109509727,5550,2,57463,ENST00000369864,0,ENSG00000181754,AMIGO1,Promoter (<=1kb),protein_coding,-0.774553755492347,0.0539471560095435
chr1,109538501,109543000,4500,*,chr1_109538501_109543000,Promoter (<=1kb),1,109539872,109545844,5973,1,83873,ENST00000404129,0,ENSG00000156097,GPR61,Promoter (<=1kb),protein_coding,-0.226558893795152,0.622802511197074
chr1,109732501,109740000,7500,*,chr1_109732501_109740000,Promoter (<=1kb),1,109736975,109738143,1169,2,2947,ENST00000476321,0,ENSG00000134202,GSTM3,Promoter (<=1kb),protein_coding,-0.137151621511739,0.760538509472533
chr1,109749001,109754000,5000,*,chr1_109749001_109754000,Promoter (<=1kb),1,109750356,109751546,1191,2,79574,ENST00000498743,0,ENSG00000198758,EPS8L3,Promoter (<=1kb),protein_coding,0.0159653660727528,0.982362369490797
chr1,109905001,109914000,9000,*,chr1_109905001_109914000,Promoter (<=1kb),1,109910242,109921880,11639,1,1435,ENST00000527192,0,ENSG00000184371,CSF1,Promoter (<=1kb),protein_coding,-1.04211199468308,0.00170078541784042
chr1,110071001,110073500,2500,*,chr1_110071001_110073500,Promoter (<=1kb),1,110059870,110070672,10803,2,257,ENST00000647563,-329,ENSG00000156150,ALX3,Promoter (<=1kb),protein_coding,-0.209465179359392,0.531852307843918
chr1,110107001,110117000,10000,*,chr1_110107001_110117000,Promoter (<=1kb),1,110112443,110113947,1505,1,164153,ENST00000334179,0,ENSG00000186150,UBL4B,Promoter (<=1kb),protein_coding,0.427719837187187,0.569839990517853
chr1,110133501,110150500,17000,*,chr1_110133501_110150500,Promoter (<=1kb),1,110150494,110202202,51709,1,388662,ENST00000331565,0,ENSG00000197106,SLC6A17,Promoter (<=1kb),protein_coding,0.594759892738712,0.0671484755622637
chr1,110446001,110455500,9500,*,chr1_110446001_110455500,Promoter (<=1kb),1,110451149,110457358,6210,1,84432,ENST00000271331,0,ENSG00000143125,PROK1,Promoter (<=1kb),protein_coding,-0.0500665900464099,0.935291446431998
chr1,110515501,110614500,99000,*,chr1_110515501_110614500,Promoter (<=1kb),1,110519837,110606354,86518,2,3737,ENST00000640680,0,ENSG00000177301,KCNA2,Promoter (<=1kb),protein_coding,0.885847408102487,0.0162473621901887
chr1,111206501,111210000,3500,*,chr1_111206501_111210000,Promoter (1-2kb),1,111197919,111204535,6617,2,79961,ENST00000473822,-1966,ENSG00000162777,DENND2D,Promoter (1-2kb),protein_coding,-0.371487684069326,0.399932446116464
chr1,111234501,111237000,2500,*,chr1_111234501_111237000,Promoter (<=1kb),1,111235016,111243440,8425,1,1117,ENST00000497220,0,ENSG00000064886,CHI3L2,Promoter (<=1kb),protein_coding,0.123791034040619,0.754145556014233
chr1,111485001,111489500,4500,*,chr1_111485001_111489500,Promoter (<=1kb),1,111485315,111488824,3510,2,57413,ENST00000472933,0,ENSG00000121933,TMIGD3,Promoter (<=1kb),protein_coding,0.0718682555312515,0.971010704148367
